Data,Percentatge de positius en les PCR
1 juny,2.05
2 juny,1.94
3 juny,1.9
4 juny,1.85
5 juny,1.86
6 juny,1.81
7 juny,1.85
8 juny,1.8
9 juny,1.77
10 juny,1.79
11 juny,1.71
12 juny,1.55
13 juny,1.49
14 juny,1.46
15 juny,1.48
16 juny,1.46
17 juny,1.3
18 juny,1.42
19 juny,1.38
20 juny,1.45
21 juny,1.48
22 juny,1.56
23 juny,1.72
24 juny,1.88
25 juny,1.88
26 juny,2.18
27 juny,2.18
28 juny,2.27
29 juny,2.3
30 juny,2.46
1 juliol,2.67
2 juliol,3.04
3 juliol,3.34
4 juliol,3.54
5 juliol,3.65
6 juliol,3.84
7 juliol,4.32
8 juliol,4.82
9 juliol,5.31
10 juliol,6.2
11 juliol,6.35
12 juliol,6.47
13 juliol,7.09
14 juliol,7.62
15 juliol,8.08
16 juliol,8.37
17 juliol,8.52
18 juliol,8.78
19 juliol,8.94
20 juliol,9.07
21 juliol,9.27
22 juliol,9.24
23 juliol,9.06
24 juliol,8.76
25 juliol,8.47
26 juliol,8.42
27 juliol,8.3
28 juliol,8.2
29 juliol,8.06
30 juliol,8.2
31 juliol,8.35
1 agost,8.4
2 agost,8.35
3 agost,8.36
4 agost,8.18
5 agost,8.22
6 agost,8.07
7 agost,7.97
8 agost,7.76
9 agost,7.76
10 agost,7.72
11 agost,7.69
12 agost,7.63
13 agost,7.64
14 agost,7.7
15 agost,7.96
16 agost,7.96
17 agost,8.07
18 agost,8.12
19 agost,8.23
20 agost,8.53
21 agost,8.43
22 agost,8.23
23 agost,8.26
24 agost,8.01
25 agost,7.82
26 agost,7.63
27 agost,7.31
28 agost,7.1
29 agost,7.21
30 agost,7.23
31 agost,7.33
1 setembre,7.3
2 setembre,7.16
3 setembre,7.05
4 setembre,7.13
5 setembre,7.13
6 setembre,7.13
7 setembre,7.03
8 setembre,7.07
9 setembre,7.27
10 setembre,7.47
11 setembre,7.58
12 setembre,7.7
13 setembre,7.7
14 setembre,7.67
15 setembre,7.86
16 setembre,7.94
17 setembre,7.7
18 setembre,7.5
19 setembre,7.2
20 setembre,7.1
21 setembre,6.99
22 setembre,6.55
23 setembre,6.1
24 setembre,5.92
25 setembre,5.69
26 setembre,5.73
27 setembre,5.7
28 setembre,5.61
29 setembre,5.62
30 setembre,5.67
1 octubre,5.88
2 octubre,6.12
3 octubre,6.19
4 octubre,6.27
5 octubre,6.51
6 octubre,6.71
7 octubre,7.07
8 octubre,7.49
9 octubre,8.15
10 octubre,8.36
11 octubre,8.59
12 octubre,9.13
13 octubre,9.92
14 octubre,10.49
15 octubre,10.68
16 octubre,10.89
17 octubre,10.94
18 octubre,10.98
19 octubre,10.96
20 octubre,11.56
21 octubre,12.03
22 octubre,12.55
23 octubre,12.76
24 octubre,12.97
25 octubre,13.18
26 octubre,13.37
27 octubre,13.1
28 octubre,12.75
29 octubre,12.19
30 octubre,11.8
31 octubre,11.65
1 novembre,11.5
2 novembre,11.37
3 novembre,11.15
4 novembre,10.86
5 novembre,10.74
6 novembre,10.5
7 novembre,10.39
8 novembre,10.29
9 novembre,9.85
10 novembre,9.46
11 novembre,9.18
12 novembre,8.96
13 novembre,8.65
14 novembre,8.5
15 novembre,8.38
16 novembre,8.05
17 novembre,7.72
18 novembre,7.51
19 novembre,7.17
20 novembre,6.95
21 novembre,6.82
22 novembre,6.76
23 novembre,6.35
24 novembre,5.82
25 novembre,5.36
26 novembre,5.03
27 novembre,4.82
28 novembre,4.72
29 novembre,4.7
30 novembre,4.59
1 desembre,4.45
2 desembre,4.27
3 desembre,4.01
4 desembre,3.77
5 desembre,3.65
6 desembre,3.64
7 desembre,3.66
8 desembre,3.72
9 desembre,4.01
10 desembre,4.25
11 desembre,4.47
12 desembre,4.57
13 desembre,4.69
14 desembre,4.87
15 desembre,4.82
16 desembre,4.81
17 desembre,4.92
18 desembre,5.02
19 desembre,5.15
20 desembre,5.1
21 desembre,5.15
22 desembre,5.21
23 desembre,5.29
24 desembre,5.45
25 desembre,5.71
26 desembre,5.85
27 desembre,6
28 desembre,6.58
29 desembre,7.46
30 desembre,8.32
31 desembre,9.26
1 gener,9.35
2 gener,9.45
3 gener,9.62
4 gener,9.94
5 gener,10.3
6 gener,10.75
7 gener,10.82
8 gener,10.74
9 gener,10.77
10 gener,10.87
11 gener,10.98
12 gener,10.62
13 gener,10.01
14 gener,9.44
15 gener,8.83
16 gener,8.69
17 gener,8.57
18 gener,8.07
19 gener,7.65
20 gener,7.35
21 gener,7.07
22 gener,6.91
23 gener,6.8
24 gener,6.76
25 gener,6.62
26 gener,6.45
27 gener,6.38
28 gener,6.48
29 gener,6.52
30 gener,6.52
31 gener,6.44
1 febrer,6.27
2 febrer,6.25
3 febrer,6.15
4 febrer,5.97
5 febrer,5.76
6 febrer,5.62
7 febrer,5.55
8 febrer,5.4
9 febrer,5.06
10 febrer,4.76
11 febrer,4.52
12 febrer,4.29
13 febrer,4.29
14 febrer,4.27
15 febrer,4.31
16 febrer,4.48
17 febrer,4.78
18 febrer,5.12
19 febrer,5.42
20 febrer,5.45
21 febrer,5.44
22 febrer,5.3
23 febrer,5.24
24 febrer,5.18
25 febrer,5.14
26 febrer,5.07
27 febrer,5
28 febrer,5
1 març,4.94
2 març,4.83
3 març,4.77
4 març,4.62
5 març,4.61
6 març,4.61
7 març,4.61
8 març,4.49
9 març,4.47
10 març,4.52
11 març,4.62
12 març,4.68
13 març,4.71
14 març,4.68
15 març,4.88
16 març,5.03
17 març,5.06
18 març,5.12
19 març,5.11
20 març,5.14
21 març,5.19
22 març,5.21
23 març,5.3
24 març,5.42
25 març,5.49
26 març,5.67
27 març,5.69
28 març,5.72
29 març,6
30 març,6.29
31 març,6.62
1 abril,6.99
2 abril,7.31
3 abril,7.58
4 abril,7.74
5 abril,7.85
6 abril,8.18
7 abril,8.13
8 abril,7.85
9 abril,7.45
10 abril,7.24
11 abril,7.15
12 abril,6.98
13 abril,6.49
14 abril,6.21
15 abril,6.1
16 abril,6.15
17 abril,6.23
18 abril,6.24
19 abril,6.17
20 abril,6.29
21 abril,6.37
22 abril,6.38
23 abril,6.36
24 abril,6.32
25 abril,6.34
26 abril,6.35
27 abril,6.26
28 abril,6.21
29 abril,6.16
30 abril,5.99
1 maig,5.95
2 maig,5.88
3 maig,5.74
4 maig,5.58
5 maig,5.37
6 maig,5.11
7 maig,4.96
8 maig,4.89
9 maig,4.81
10 maig,4.65
11 maig,4.44
12 maig,4.32
13 maig,4.24
14 maig,4.05
15 maig,3.95
16 maig,3.89
17 maig,3.77
18 maig,3.68
19 maig,3.63
20 maig,3.6
21 maig,3.67
22 maig,3.69
23 maig,3.7
24 maig,3.7
25 maig,3.87
26 maig,3.9
27 maig,4.03
28 maig,3.98
29 maig,3.96
30 maig,3.93
31 maig,3.79
1 juny,3.66
2 juny,3.56
3 juny,3.41
4 juny,3.36
5 juny,3.37
6 juny,3.36
7 juny,3.37
8 juny,3.37
9 juny,3.4
10 juny,3.48
11 juny,3.41
12 juny,3.37
13 juny,3.35
14 juny,3.34
15 juny,3.33
16 juny,3.45
17 juny,3.45
18 juny,3.56
19 juny,3.61
20 juny,3.65
21 juny,3.9
22 juny,4.32
23 juny,4.68
24 juny,5.02
25 juny,5.81
26 juny,6.22
27 juny,6.99
28 juny,8.9
29 juny,10.9
30 juny,13.25
1 juliol,14.06
2 juliol,14.9
3 juliol,15.29
4 juliol,15.61
5 juliol,16.48